"fila","decil","tamanio_localidad","marginacion","n","gasto_prom","ingreso_prom","rubro","prop_ingreso"
"92","6","100 mil o más","Bajo",103,6603.33239416492,27260.6492557842,"ALIMENTOS",0.242229461675929
"93","6","100 mil o más","Medio",46,6898.06727089076,27940.4203241701,"ALIMENTOS",0.246884878282361
"94","6","De 15 mil a 100 mil","Muy bajo",175,6331.11709320152,27843.4029110195,"ALIMENTOS",0.227383021875385
"95","6","De 15 mil a 100 mil","Bajo",150,7065.48373373764,27565.5432724353,"ALIMENTOS",0.256315780317049
"96","6","De 15 mil a 100 mil","Medio",114,7018.19673335377,27761.03878357,"ALIMENTOS",0.252807425113624
"97","6","De 15 mil a 100 mil","Alto",62,7164.28610942501,27395.7493803309,"ALIMENTOS",0.261510864695262
"98","6","De 15 mil a 100 mil","Muy alto",4,6434.08751967404,28256.2359330144,"ALIMENTOS",0.227705046593149
"99","6","De 2500 a 15 mil","Muy bajo",61,6952.08879367179,27772.8114282316,"ALIMENTOS",0.250319950921672
"100","6","De 2500 a 15 mil","Bajo",80,6943.03388318188,27901.3130802853,"ALIMENTOS",0.248842549567595
"101","6","De 2500 a 15 mil","Medio",67,7244.18301076405,27164.0365482373,"ALIMENTOS",0.266682862022365
"102","6","De 2500 a 15 mil","Alto",74,6908.60394166029,27610.57326759,"ALIMENTOS",0.250215881963226
"103","6","De 2500 a 15 mil","Muy alto",20,6340.62336800094,27570.6187911482,"ALIMENTOS",0.229977550233172
"104","6","Menos de 2500","Muy bajo",93,5432.95941094715,27709.6714871489,"ALIMENTOS",0.196067261694777
"105","6","Menos de 2500","Bajo",68,5295.15849473866,27933.7963819232,"ALIMENTOS",0.189561004252373
"106","6","Menos de 2500","Medio",94,5794.76529742467,27871.2400949352,"ALIMENTOS",0.207912000961798
"107","6","Menos de 2500","Alto",90,5602.31997828163,27715.249976999,"ALIMENTOS",0.202138533223803
"108","6","Menos de 2500","Muy alto",30,4532.30170553563,28103.2329346105,"ALIMENTOS",0.161273320976317
"109","7","100 mil o más","Muy bajo",1483,7150.04883000502,34261.1826938121,"ALIMENTOS",0.208692411289596
"110","7","100 mil o más","Bajo",105,7281.9094682685,34417.6012215345,"ALIMENTOS",0.211575159506245
"111","7","100 mil o más","Medio",43,7371.00773159321,33914.1574247642,"ALIMENTOS",0.217343088883903
"112","7","De 15 mil a 100 mil","Muy bajo",224,6973.42044354496,34291.4328051643,"ALIMENTOS",0.203357511573409
"113","7","De 15 mil a 100 mil","Bajo",157,7919.88094541159,34466.3422290368,"ALIMENTOS",0.229785942841922
"114","7","De 15 mil a 100 mil","Medio",98,7622.8893454382,34627.3263434596,"ALIMENTOS",0.220140858402659
"115","7","De 15 mil a 100 mil","Alto",62,7947.12149123534,33917.6377084172,"ALIMENTOS",0.234306456114517
"116","7","De 15 mil a 100 mil","Muy alto",3,7270.45820238169,33025.9483703704,"ALIMENTOS",0.220143813005669
"117","7","De 2500 a 15 mil","Muy bajo",58,7641.07549923479,34543.8271720453,"ALIMENTOS",0.221199447912314
"118","7","De 2500 a 15 mil","Bajo",75,7766.04160087818,34562.9261431757,"ALIMENTOS",0.224692827473797
"119","7","De 2500 a 15 mil","Medio",57,7851.58192376802,34268.5896162515,"ALIMENTOS",0.229118910690287
"120","7","De 2500 a 15 mil","Alto",59,7647.17278004642,33668.4658149794,"ALIMENTOS",0.227131608017735
"121","7","De 2500 a 15 mil","Muy alto",16,7149.57869115337,34370.258410706,"ALIMENTOS",0.208016436935671
"122","7","Menos de 2500","Muy bajo",77,6208.8560649995,34112.4284633449,"ALIMENTOS",0.182011552524651
"123","7","Menos de 2500","Bajo",61,6158.3638299242,34567.490506992,"ALIMENTOS",0.178154784729847
"124","7","Menos de 2500","Medio",75,6530.39656173767,34610.3919728008,"ALIMENTOS",0.188683114795975
"125","7","Menos de 2500","Alto",80,6447.84320324015,34129.2538118102,"ALIMENTOS",0.188924236046699
"126","7","Menos de 2500","Muy alto",19,5313.77617097831,33559.4843137255,"ALIMENTOS",0.158339029327844
"127","8","100 mil o más","Muy bajo",1479,8091.95832288281,43744.2975175058,"ALIMENTOS",0.184983158539568
"128","8","100 mil o más","Bajo",81,8090.65136325957,42956.2823176583,"ALIMENTOS",0.188346172590771
"129","8","100 mil o más","Medio",47,8210.87323844935,43681.8059041045,"ALIMENTOS",0.187970095752791
"130","8","De 15 mil a 100 mil","Muy bajo",198,7825.62485969048,43126.2536991928,"ALIMENTOS",0.181458489630806
"131","8","De 15 mil a 100 mil","Bajo",152,8725.40129677106,43351.3453136453,"ALIMENTOS",0.201271753705522
"132","8","De 15 mil a 100 mil","Medio",97,8419.97188194601,43142.214816271,"ALIMENTOS",0.195167816900546
"133","8","De 15 mil a 100 mil","Alto",41,8770.35402315175,44267.9002941786,"ALIMENTOS",0.198119946165712
"134","8","De 15 mil a 100 mil","Muy alto",4,7848.48764931578,43702.4642583732,"ALIMENTOS",0.179589132615377
"135","8","De 2500 a 15 mil","Muy bajo",54,8682.40296933195,42255.3315949245,"ALIMENTOS",0.205474732811583
"136","8","De 2500 a 15 mil","Bajo",66,8663.20801940587,41249.5937066392,"ALIMENTOS",0.210019232698806
